Binance|WTC|BNB|2.50_rolling_average2
Binance|WTC|BNB|2.50_flicking_up
Binance|WTC|BNB|5.00_flicking_up
Binance|WTC|ETH|2.50_new_above_old
Binance|WTC|ETH|5.00_new_above_old
Binance|WTC|ETH|2.50_rolling_average2
Binance|WTC|ETH|2.50_flicking_up
Binance|WTC|ETH|5.00_flicking_up
Binance|WTC|BTC|2.50_new_above_old
Binance|WTC|BTC|5.00_new_above_old
Binance|WTC|BTC|2.50_rolling_average2
Binance|WTC|BTC|2.50_flicking_up
Binance|WTC|BTC|5.00_flicking_up
Binance|STEEM|BNB|5.00_nino_nino_1
Binance|STEEM|BNB|2.50_stepping_down
Binance|STEEM|ETH|2.50_flicking_down
Binance|STEEM|ETH|5.00_nino_nino_1
Binance|STEEM|ETH|5.00_old_above_new
Binance|STEEM|ETH|2.50_stepping_down
Binance|STEEM|BTC|2.50_flicking_down
Binance|STEEM|BTC|5.00_nino_nino_1
Binance|STEEM|BTC|5.00_old_above_new
Binance|STEEM|BTC|2.50_stepping_down
Binance|CMT*|BTC|2.50_new_above_old
Binance|CMT*|BTC|5.00_new_above_old
Binance|CMT*|BTC|10.0_new_above_old
Binance|CMT*|BTC|2.50_average_comp
Binance|CMT*|BTC|2.50_flicking_up
Binance|CMT*|BTC|5.00_flicking_up
Binance|CMT*|BTC|2.50_stepping_up
Binance|CMT*|BTC|5.00_stepping_up
Binance|CMT*|BNB|2.50_new_above_old
Binance|CMT*|BNB|5.00_new_above_old
Binance|CMT*|BNB|10.0_new_above_old
Binance|CMT*|BNB|2.50_rolling_average2
Binance|CMT*|BNB|2.50_average_comp
Binance|CMT*|BNB|5.00_average_comp
Binance|CMT*|BNB|2.50_flicking_up
Binance|CMT*|BNB|5.00_flicking_up
Binance|CMT*|BNB|2.50_stepping_up
Binance|CMT*|BNB|5.00_stepping_up
Binance|CMT*|BNB|10.0_stepping_up
Binance|CMT*|ETH|2.50_new_above_old
Binance|CMT*|ETH|5.00_new_above_old
Binance|CMT*|ETH|10.0_new_above_old
Binance|CMT*|ETH|2.50_average_comp
Binance|CMT*|ETH|2.50_flicking_up
Binance|CMT*|ETH|5.00_flicking_up
Binance|CMT*|ETH|2.50_stepping_up
Binance|CMT*|ETH|5.00_stepping_up
Binance|CMT*|ETH|10.0_stepping_up
Binance|OAX|BTC|2.50_stepping_down
Binance|OAX|ETH|2.50_stepping_down
Binance|WINGS|BTC|5.00_nino_nino_1
Binance|WINGS|ETH|2.50_new_above_old
Binance|WINGS|ETH|5.00_nino_nino_1
Binance|RDN*|ETH|2.50_new_above_old
Binance|RDN*|BNB|2.50_new_above_old
Binance|ZIL|BTC|2.50_flicking_down
Binance|ZIL|BTC|5.00_nino_nino_1
Binance|ZIL|BTC|5.00_old_above_new
Binance|ZIL|BTC|2.50_stepping_down
Binance|ZIL|BNB|5.00_nino_nino_1
Binance|ZIL|BNB|5.00_old_above_new
Binance|ZIL|BNB|2.50_stepping_down
Binance|ZIL|ETH|2.50_flicking_down
Binance|ZIL|ETH|5.00_nino_nino_1
Binance|ZIL|ETH|5.00_old_above_new
Binance|ZIL|ETH|2.50_stepping_down
Binance|POA|BTC|5.00_nino_nino_1
Binance|MCO|BTC|2.50_flicking_down
Binance|MCO|BTC|5.00_nino_nino_1
Binance|MCO|BTC|5.00_old_above_new
Binance|MCO|ETH|2.50_flicking_down
Binance|MCO|ETH|5.00_nino_nino_1
Binance|MCO|ETH|5.00_old_above_new
Binance|VIA|BTC|2.50_flicking_down
Binance|TRX|BTC|2.50_flicking_down
Binance|TRX|BTC|5.00_nino_nino_1
Binance|TRX|BTC|5.00_old_above_new
Binance|TRX|BTC|2.50_average_comp2
Binance|TRX|BTC|2.50_average_comp2
Binance|TRX|BTC|2.50_stepping_down
Binance|TRX|BTC|5.00_stepping_down
Binance|TRX|ETH|2.50_flicking_down
Binance|TRX|ETH|5.00_nino_nino_1
Binance|TRX|ETH|5.00_old_above_new
Binance|TRX|ETH|2.50_average_comp2
Binance|TRX|ETH|2.50_average_comp2
Binance|TRX|ETH|2.50_stepping_down
Binance|TRX|ETH|5.00_stepping_down
Binance|SNM|ETH|2.50_flicking_down
Binance|SNM|ETH|5.00_nino_nino_1
Binance|SNM|ETH|10.0_nino_nino_1
Binance|SNM|ETH|5.00_old_above_new
Binance|SNM|ETH|10.0_old_above_new
Binance|SNM|ETH|2.50_average_comp2
Binance|SNM|ETH|2.50_average_comp2
Binance|SNM|ETH|2.50_stepping_down
Binance|SNM|ETH|5.00_stepping_down
Binance|SNM|BTC|2.50_flicking_down
Binance|SNM|BTC|5.00_nino_nino_1
Binance|SNM|BTC|10.0_nino_nino_1
Binance|SNM|BTC|5.00_old_above_new
Binance|SNM|BTC|10.0_old_above_new
Binance|SNM|BTC|2.50_average_comp2
Binance|SNM|BTC|2.50_average_comp2
