Mon Oct 1 11:48:53 GMT 2018, Darting-Cricket-9, 	RDN*-BTC ,	7/1 ,7.40E-05,,,7.8387E-05
Mon Oct 1 11:48:53 GMT 2018, Darting-Pekingese-7, 	CHAT-BTC ,	6/1 ,3.53E-06,,,3.7418E-06
Fri Oct 5 10:02:33 2018, Crouching-Havanese-14, 	GVT-BTC ,	8/1 ,0.002141,	13,,0.00226946
Fri Oct 5 10:02:33 2018, Crouching-Pomeranian-14, 	FUEL-BTC ,	7/1,2.78E-06,	2,,2.9468E-06
